2023-11-21 19:58:22|[http-nio-8087-exec-9]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 19:58:24|[http-nio-8087-exec-1]|INFO |com.harshi_solution.inventorymate.controllers.RepsController-Displaying the list of representatives
2023-11-21 19:58:26|[http-nio-8087-exec-2]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 19:58:27|[http-nio-8087-exec-5]|INFO |com.harshi_solution.inventorymate.controllers.RepsController-Displaying the list of representatives
2023-11-21 19:58:29|[http-nio-8087-exec-3]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 19:58:31|[http-nio-8087-exec-4]|INFO |com.harshi_solution.inventorymate.controllers.RepsController-Displaying the list of representatives
2023-11-21 19:58:33|[http-nio-8087-exec-9]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 19:58:35|[http-nio-8087-exec-10]|INFO |com.harshi_solution.inventorymate.controllers.TransportController-Displaying the list of transports
2023-11-21 19:58:40|[http-nio-8087-exec-8]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:13|[http-nio-8087-exec-5]|INFO |com.harshi_solution.inventorymate.controllers.OrderController-Entering showBookOrder
2023-11-21 20:05:17|[http-nio-8087-exec-3]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:19|[http-nio-8087-exec-4]|INFO |com.harshi_solution.inventorymate.controllers.OrderController-Displaying order list
2023-11-21 20:05:21|[http-nio-8087-exec-7]|INFO |com.harshi_solution.inventorymate.controllers.OrderController-Displaying order details for order with ID: 1
2023-11-21 20:05:22|[http-nio-8087-exec-6]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:26|[http-nio-8087-exec-9]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Inside getTotalOutstanding() on DashboardController
2023-11-21 20:05:29|[http-nio-8087-exec-10]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:30|[http-nio-8087-exec-8]|INFO |com.harshi_solution.inventorymate.controllers.ProductController-Displaying the list of available products
